"tag","country_name","historical_system_type","current_land_units","current_land_manpower","historical_standing_low","historical_standing_high","historical_effective_anchor","garrison_adjustment","standing_representation_factor","factor_rationale","target_land_units_low","target_land_units_high","target_land_units_recommended","target_infantry","target_cavalry","target_artillery","target_other","composition_source","composition_confidence","target_barracks_levels","historical_mobilization_type","target_mobilization_capacity","mobilization_model","current_to_target_delta","structural_defer","structural_resolution","tech_dependent_review_later","conversion_confidence","research_status","notes","recommended_formation_count"
"BUG","Buganda","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","3","5","4","3","1","0","0","QUALITATIVE_MODEL","LOW","4","MILITIA_LEVY_OR_LOCAL_OBLIGATION","12","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","4","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"BUK","Bukhara","HOUSEHOLD_CORE_PLUS_TRIBAL_CONFEDERAL_LEVY","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","6","10","8","4","4","0","0","QUALITATIVE_MODEL","LOW","8","TRIBAL_CONFEDERAL_LEVY","24","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","8","NO","","YES","LOW","QUALITATIVE_ONLY","Confederal/tribal mobilization is not directly comparable with a European standing army; qualitative-only unless a near-date establishment survives. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"BUR","Burma","COURT_GARRISON_PLUS_MANDALA_LEVY","34","34000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; court/core force separated from levy.","24","38","30","24","5","1","0","REGIONAL_MODEL","LOW","30","MILITIA_LEVY_OR_LOCAL_OBLIGATION","60","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-4","NO","","YES","LOW","QUALITATIVE_ONLY","Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; court/core force separated from levy.","1"
"CAM","Cambodia","COURT_GARRISON_PLUS_MANDALA_LEVY","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","4","8","6","5","1","0","0","QUALITATIVE_MODEL","LOW","6","MILITIA_LEVY_OR_LOCAL_OBLIGATION","12","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","6","NO","","YES","LOW","QUALITATIVE_ONLY","Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"CHC","Chechnya","HOUSEHOLD_CORE_PLUS_TRIBAL_CONFEDERAL_LEVY","10","10000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","6","10","8","4","4","0","0","REGIONAL_MODEL","LOW","8","TRIBAL_CONFEDERAL_LEVY","24","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-2","NO","","YES","LOW","QUALITATIVE_ONLY","Confederal/tribal mobilization is not directly comparable with a European standing army; qualitative-only unless a near-date establishment survives. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"CHI","China","BANNER_AND_GREEN_STANDARD_ADMINISTRATIVE_ESTABLISHMENT","485","485000","800000","800000","800000 administrative establishment","510000 administrative/garrison personnel abstracted outside field units","0.325-0.400; recommended 0.3625","800,000 paid administrative establishment x 0.325-0.400; 290 recommended deployable standing representation.","260","320","290","230","60","0","0","ORGANIZATIONAL_UNITS","MEDIUM","290","PROVINCIAL_GARRISON_AND_BANNER_SURGE","150","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-195","NO","","NO","HIGH","QUANTITATIVE_HIGH_CONFIDENCE","Current 485,000 V3 units cannot be judged simply against 800,000; role dispersion makes the comparison NOT_DIRECTLY_COMPARABLE. 800,000 paid administrative establishment x 0.325-0.400; 290 recommended deployable standing representation.","8"
"CHP","Champasak","COURT_GARRISON_PLUS_MANDALA_LEVY","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","QUALITATIVE_MODEL","LOW","1","MILITIA_LEVY_OR_LOCAL_OBLIGATION","2","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"CIR","Circassia","HOUSEHOLD_CORE_PLUS_TRIBAL_CONFEDERAL_LEVY","18","18000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","11","18","14","6","7","1","0","REGIONAL_MODEL","LOW","14","TRIBAL_CONFEDERAL_LEVY","42","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-4","NO","","YES","LOW","QUALITATIVE_ONLY","Confederal/tribal mobilization is not directly comparable with a European standing army; qualitative-only unless a near-date establishment survives. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"CMI","Chiang Mai","COURT_GARRISON_PLUS_MANDALA_LEVY","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","3","5","4","3","1","0","0","QUALITATIVE_MODEL","LOW","4","MILITIA_LEVY_OR_LOCAL_OBLIGATION","8","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","4","NO","","YES","LOW","QUALITATIVE_ONLY","Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"COB","Saxe-Coburg-Gotha","EUROPEAN_REGULAR_STATE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","QUALITATIVE_MODEL","LOW","1","MILITIA_RESERVE","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"COC","Cochin","HOUSEHOLD_CORE_PLUS_MERCENARY_LEVY","2","2000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1","3","2","1","1","0","0","REGIONAL_MODEL","LOW","2","MILITIA_LEVY_OR_LOCAL_OBLIGATION","3","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
